,K,L,w
0,1,1,8.141544873299539
1,3,2,14.82359786913165
2,2,5,23.976452848837404
3,0,0,1.8533684007732596
4,2,4,19.702307699790047
5,2,2,12.608317629146713
6,2,3,17.4453410512944
7,1,3,13.028472320644804
8,1,2,10.689976136785429
9,2,3,15.711537438568872
10,2,3,16.899529595838793
11,2,1,9.10066923611077
12,1,3,14.271405252113524
13,1,1,8.221577487157292
14,1,3,14.084800197225722
15,3,3,18.690448801906463
16,4,3,20.95633061491821
17,1,2,10.64519852724117
18,1,2,10.123115064581985
19,4,3,20.883522145963298
20,2,4,19.486260440080866
21,1,1,7.422390386211912
22,2,3,17.919494387404203
23,1,2,10.929841567038583
24,3,3,18.316075786210313
25,2,4,20.210037754085107
26,1,2,10.503891657731716
27,1,2,9.858811505217684
28,1,3,14.48807444616915
29,1,2,10.932300014524909
30,2,3,16.195532411943713
31,1,2,11.251655896580296
32,1,3,13.441181256625217
33,1,3,13.281373019743874
34,2,5,23.894514558753436
35,2,4,19.89881464865543
36,1,2,10.756735943743704
37,1,2,11.925299819088405
38,1,2,10.090662726872642
39,2,1,9.233811722319887
40,2,3,16.017668878144804
41,3,4,22.339878170217347
42,2,1,8.567737192247336
43,1,2,11.278330300620597
44,3,4,22.15475527429779
45,2,3,17.943089011439586
46,3,4,21.63672340547028
47,3,2,15.263012932434922
48,0,0,3.7086134959293346
49,3,2,15.438535616252368
50,1,1,8.481174739141828
51,3,3,18.752003067402775
52,1,2,11.19555940556397
53,1,2,10.95530984083176
54,2,3,15.692227864183527
55,3,3,18.871888789975
56,2,3,17.153938964085455
57,1,3,14.412847999030493
58,2,3,16.89659163460374
59,1,2,10.95822347373835
60,1,2,11.111087845781551
61,3,4,21.94589269866841
62,0,0,5.176716163252028
63,2,3,16.211099398418305
64,3,4,21.806329461397183
65,2,4,19.286643572398305
66,3,3,18.133257107238784
67,3,2,15.447259208990179
68,1,2,11.326129036747457
69,2,3,17.524357090168543
70,1,3,14.1628238003004
71,2,4,19.428600441382624
72,1,2,11.884473152118513
73,2,3,17.27681349865697
74,2,2,12.84431818599876
75,3,3,18.252047916566227
76,1,3,13.139561277089935
77,1,2,11.482042153184075
78,2,2,12.935752984108435
79,2,2,12.800613123237627
80,3,4,21.776975866658333
81,1,3,13.930210551497238
82,1,2,10.209921281276682
83,2,3,17.208584503734023
84,1,2,10.404564589220897
85,3,3,18.879516221273633
86,1,3,14.338621947376934
87,3,2,15.051677375205786
88,4,3,20.611668247011234
89,2,3,17.51679827250999
90,2,2,12.83847002698588
