,K,L,w
0,6,7,40.38065859592773
1,5,8,41.320796621997175
2,5,7,37.66961287679398
3,7,7,42.87602839236813
4,6,7,40.41380831475243
5,5,7,37.4193850314782
6,6,11,53.781050027554855
7,7,6,39.31943133636107
8,4,6,31.135085055325042
9,7,6,39.13538303035122
10,8,7,45.33459674918642
11,8,7,45.28161911643174
12,5,7,37.31080320409462
13,6,7,39.761921147370444
14,5,6,34.07560406595048
15,7,7,42.52631516915459
16,4,7,34.52242700646436
17,5,9,44.42784508031721
18,3,6,28.61502666943459
19,6,10,50.209174239942996
20,5,10,47.52970359796677
21,6,8,43.5523912948285
22,5,8,40.881438007449574
23,6,9,46.6790654770719
24,5,8,40.50158112433625
25,6,10,51.32174632902409
26,6,7,39.647869015305524
27,4,7,34.64436084925653
28,6,7,40.39868453665027
29,7,7,42.2470671474016
30,5,7,37.93908490552516
31,4,7,35.32957185946169
32,6,7,39.87214643781181
33,4,7,35.82421493091927
34,7,8,45.69215543604194
35,4,7,34.816001874441945
36,8,7,44.976035402384014
37,5,7,37.583582185082264
38,4,7,35.22998913054098
39,8,7,45.28065522450391
40,4,8,38.288097057062764
41,5,8,41.578804370786365
42,8,7,44.592432025586874
43,7,9,49.07648545688219
44,5,8,41.9907017577398
45,6,7,40.4405244246581
46,3,6,29.417729369709324
47,7,9,49.29636874921836
48,7,7,42.7474018692302
49,6,6,36.590161443824144
50,6,9,47.076149189508335
51,4,8,38.15162687840149
52,4,6,32.07173985158878
53,4,6,32.150254783165046
54,4,7,34.53299032679982
55,6,6,36.68666447744178
56,3,5,26.21221237000583
57,5,6,33.67853998753781
58,7,7,42.3373642807814
59,4,4,24.16324239034943
60,7,9,49.73053150170769
61,5,7,37.952739948099044
62,7,8,46.149894621856916
63,7,7,42.14511744699216
64,4,6,32.108937331847535
65,7,6,39.044595021043
66,5,7,37.177688350503885
67,8,7,44.60970226838256
68,7,6,38.67608994440165
69,6,8,43.0532679154621
70,5,8,41.330450527454744
71,7,6,38.87917517826866
72,4,7,35.421102562111905
73,4,8,38.33690298821221
74,4,6,32.360963999291776
75,5,5,30.248264937748367
76,7,7,42.551209080263305
77,5,7,37.87068183368129
78,4,7,35.26945979881613
79,4,7,35.72443293533806
80,7,8,46.47144579735121
81,6,6,36.68013798781093
82,5,8,41.30265660994284
83,6,8,43.47831293350484
84,4,7,35.14409810926581
85,5,8,41.57502245625995
86,8,7,45.33315755280815
87,6,10,51.317603614789014
88,5,8,41.57814170954767
89,6,6,36.336882286818515
90,6,7,39.999782489720324
91,6,8,43.162158116331966
92,6,6,36.138106951481866
93,6,7,40.42870566673264
94,4,6,32.0183179960227
95,8,7,45.186431022000775
96,6,5,32.871332318752636
97,4,7,34.90746451515346
98,5,6,33.563818986003405
99,8,7,45.13974656099825
100,6,5,32.84583927163454
101,6,9,46.85666411068599
102,3,6,29.186407811620384
103,7,6,38.88048956365542
104,7,7,42.25223586536631
105,6,6,36.569324700800536
106,5,8,41.41826219794708
107,4,7,35.172836046842654
108,5,10,47.6995464119809
109,6,7,39.597306957637706
110,5,6,34.227595754467046
111,7,7,42.37945112651099
112,8,7,44.52062159053317
113,5,8,40.81976603049837
114,7,8,46.09596595139079
115,8,7,44.72988106370535
116,5,8,40.94856220188823
117,7,7,42.60235740085923
118,7,9,49.610261813662135
119,5,8,41.256069299118266
120,7,8,45.89873259015674
121,4,7,35.55796654429962
122,6,8,43.20033817327668
123,7,7,42.49152812297895
124,5,8,41.34143508658087
125,5,8,41.054861439865775
126,5,5,30.048401158422998
127,4,8,38.48740416424473
128,5,6,33.96399284583191
129,6,7,40.43936581522391
130,8,7,44.63803399897682
131,4,5,27.67581772575494
132,5,8,41.94322557485187
133,6,6,36.487739088815616
134,7,8,46.47995204810421
135,5,7,37.41027168816294
136,6,7,40.38051264403573
137,6,8,43.940801416285574
138,6,7,39.82195983846591
139,7,8,45.97100151235695
140,6,7,40.07267077093169
141,7,6,39.4186777490777
142,5,8,41.613416877444855
143,4,7,35.22579764938228
144,5,8,40.67913578546626
145,6,9,47.378176475375646
146,7,9,49.88847390883813
147,7,6,39.33727879361115
148,6,5,33.44414856087479
149,4,8,38.21693821405251
150,4,7,34.94275797499541
151,4,7,34.94539330284714
152,6,6,36.34506539319187
153,8,7,44.83187406866742
154,5,7,37.69814989466605
155,4,7,34.929161703441395
156,7,6,39.02772549421295
157,5,9,44.40126383996238
158,8,8,48.13515192055771
159,5,9,44.38246060865099
160,5,9,44.03131451894764
161,8,7,45.38594573579398
162,6,5,33.491897437405626
163,6,9,47.42181335647985
164,5,8,40.58568280039726
165,6,9,47.381218521324755
166,5,8,41.6029233256388
167,7,7,42.50277943684055
168,4,6,32.318905205590596
169,7,7,42.32853812575348
170,8,7,45.39685982444669
171,5,8,40.74506487539065
172,5,8,40.88555951614287
173,5,4,26.76062129550577
174,7,6,38.89994745280273
175,7,6,38.577854740397704
176,6,7,39.648138210492725
177,6,6,36.02430904666746
178,7,6,39.46237584707842
179,5,8,40.66586527935341
180,4,7,34.9121111735445
181,7,6,39.27381382932154
182,5,8,41.56713665937719
183,6,7,39.52763197587036
184,5,8,40.827266616512084
185,5,8,40.84517400305897
186,6,7,40.012257509872775
187,6,9,47.45567795475632
188,6,8,43.72790536148882
189,7,7,42.96084133495656
190,4,6,31.28282917063768
191,7,7,42.476081420850036
192,4,7,34.8133842389422
193,8,7,45.141374809287655
194,7,6,38.71609364247031
195,5,7,37.108976645392715
196,6,5,33.3923844168595
197,8,7,44.96041777131865
